Title,Acronym,Source,Rank,Note,DBLP,Primary FoR,Comments,Average Rating
International Conference on Construction Engineering and Management,ICCEM,ERA2010,C,none,none,0905,0,N/A
International Conference on Construction in Developing Countries,ICCIDC,ERA2010,C,none,none,1202,0,N/A
"International Conference on Control, Automation, Robotics and Vision",ICARCV,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/icarcv,4602,0,N/A
"International Conference on Control, Decision and Information Technologies",CoDIT,CORE2023,C,none,https://dblp.org/db/conf/codit,4612,1,4.0
International Conference on Convergence and Hybrid Information Technology,ICHIT,CORE2018,C,none,none,0899,0,N/A
International Conference on Cooperative Information Systems,CoopIS,CORE2023,B,none,none,4608,0,N/A
International Conference on Coordination Models and Languages,Coordination,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/coordination,4606,0,N/A
International Conference on Creating Connecting and Collaborating through Computing,C5,CORE2018,C,none,none,0806,0,N/A
International Conference on Cryptology and Network Security,CANS,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/cans,4604,0,N/A
International Conference on Cryptology in India,INDOCRYPT,CORE2023,National: India,none,https://dblp.uni-trier.de/db/conf/indocrypt,4604,0,N/A
International Conference on Cybercrime Forensics Education and Training,CFET,CORE2018,C,none,none,0801,0,N/A
International Conference on Cyberworlds (was International Symposium on Cyberworlds),CW,CORE2023,C,See note,https://dblp.uni-trier.de/db/conf/cw,4607,2,5.0
International Conference on Data Engineering,ICDE,CORE2023,A*,none,https://dblp.uni-trier.de/db/conf/icde,4605,0,N/A
"International Conference on Data Science, Technology and Applications",DATA,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/data,4605,0,N/A
International Conference on Database and Expert Systems Applications,DEXA,CORE2023,C,See note,https://dblp.uni-trier.de/db/conf/dexa,4605,0,N/A
International Conference on Database Systems for Advanced Applications,DASFAA,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/dasfaa,4605,0,N/A
International Conference on Database Theory,ICDT,CORE2023,A,none,https://dblp.uni-trier.de/db/conf/icdt,4605,0,N/A
International Conference on Decision Support Through Knowledge Management,DSTKM,CORE2018,C,none,none,,0,N/A
International Conference on Declarative Programming and Knowledge Management (no information after 2013),INAP,CORE2014,C,none,none,0802,0,N/A
International Conference on Dependability of Computer Systems,DEPCoS,CORE2023,National: Poland,none,https://dblp.uni-trier.de/db/conf/depcos,4606,7,4.9
"International Conference on Dependable, Autonomic and Secure Computing",DASC,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/dasc,4604,0,N/A
International Conference on Design Science Research in Information Systems and Technology,DESRIST,CORE2018,A,none,https://dblp.uni-trier.de/db/conf/desrist,0806,0,N/A
International Conference on Design Theory and Methodology (ASME),DTM,ERA2010,A,none,none,1203,0,N/A
"International Conference on Digital Content, Multimedia Technology and its Applications",IDC,CORE2018,C,none,none,0806,0,N/A
International Conference on Digital Economy,ICDEc,CORE2018,Unranked,none,https://dblp.uni-trier.de/db/conf/icdec,0806,0,N/A
International Conference on Digital Government Research,DGO,CORE2018,B,none,none,0806,0,N/A
International Conference on Digital Society,ICDS,CORE2023,C,none,none,4601,0,N/A
International Conference on Discrete Geometry for Computer Imagery,DGCI,CORE2021,C,none,https://dblp.uni-trier.de/db/conf/dgci,4607,1,4.0
International Conference on Discrete Mathematics and Theoretical Computer Science,DMTCS,CORE2018,B,none,none,0802,0,N/A
International Conference on Distributed Computing and Artificial Intelligence,DCAI,CORE2023,National(Spain),none,https://dblp.org/db/conf/dcai,4602,0,N/A
International Conference on Distributed Computing and Internet Technologies,ICDCIT,CORE2023,National: India,none,https://dblp.uni-trier.de/db/conf/icdcit,4606,0,N/A
International Conference on Distributed Computing and Networking,ICDCN,CORE2023,National: India,none,https://dblp.uni-trier.de/db/conf/icdcn,4606,7,4.7
International Conference on Distributed Computing Systems,ICDCS,CORE2023,A,none,https://dblp.uni-trier.de/db/conf/icdcs,4606,4,5.0
International Conference on Distributed Frameworks for Multimedia Applications,DFMA,CORE2018,C,none,none,0805,0,N/A
International Conference on Dublin Core and Metadata Applications,DC,CORE2023,C,none,none,4605,0,N/A
International Conference on e-Business,ICEB,CORE2018,B,none,none,0806,0,N/A
International Conference on Electronic Commerce,ICEC,CORE2023,C,none,none,4601,0,N/A
International Conference on Electronic Commerce and Web Technology,ECWeb,CORE2018,B,none,none,0806,0,N/A
International Conference on Electronic Voting,EVOTE,CORE2018,C,none,none,0804,0,N/A
International Conference on Email and Anti-Spam,CEAS,CORE2018,B,none,none,0806,0,N/A
International Conference on Embedded and Real Time Computing Systems and Applications,RTCSA,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/rtcsa,4606,0,N/A
International Conference on Embedded Software and Systems,ICESS,ERA2010,C,none,none,0905,0,N/A
International Conference on Embedded Wireless Systems and Networks (wasEuropean Conference on Wireless Sensor Networks),EWSN,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/ewsn,4606,8,4.8
International Conference on Emerging Ubiquitous Systems and Pervasive Networks,EUSPN,CORE2023,Unranked,none,https://dblp.uni-trier.de/db/conf/euspn,4606,0,N/A
International Conference on Engineering Applications of Neural Networks,EANN,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/eann,4611,0,N/A
International Conference on Engineering Computational Technology,,ERA2010,B,none,none,0910,0,N/A
"International Conference on Engineering Design (ICED), The Design Society",ICED,ERA2010,B,none,none,1203,0,N/A
International Conference on Engineering Education,ICEE,CORE2018,C,none,none,0999,0,N/A
International Conference on Enhancement and Promotion of Computational Methods in Engineering and Science,,ERA2010,A,none,none,0910,0,N/A
International Conference on Enterprise Information Systems,ICEIS,CORE2018,C,none,none,0806,0,N/A
International Conference on Enterprise Information Systems and Web Technologies,EISWT,CORE2018,C,none,none,0806,0,N/A
International Conference on Enterprise Integration and Modelling Technology,ICEIMT,CORE2018,C,none,none,0806,0,N/A
International Conference on Entertainment Computing,ICEC,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/iwec,4607,0,N/A
International Conference on Environmental Systems,ICES,ERA2010,A,none,none,1202,0,N/A
International conference on ER fluids and MR suspensions,,ERA2010,A,none,none,0913,0,N/A
International Conference on Evaluation and Assessment in Software Engineering,EASE,CORE2023,A,none,https://dblp.uni-trier.de/db/conf/ease,4612,31,5.0
International Conference on Evaluation of Novel Approaches to Software Engineering,ENASE,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/enase,4612,0,N/A
International Conference on Experimental Implementation of Quantum Computation,QuantCom,CORE2018,C,none,none,0802,0,N/A
International Conference on Fast Sea Transportation,,ERA2010,A,none,none,0911,0,N/A
International Conference on Field and Service Robotics,FSR,CORE2018,A,none,https://dblp.uni-trier.de/db/conf/fsr,0801,0,N/A
"International Conference on Fluid Control, Measurements, and Visualization",,ERA2010,B,none,none,0913,0,N/A
International Conference on Fluid Mechanics,,ERA2010,B,none,none,0913,0,N/A
International Conference on Formal Engineering Methods,ICFEM,CORE2023,C,See note,https://dblp.uni-trier.de/db/conf/icfem,4612,0,N/A
International Conference on Formal Methods and Models for Co-Design,MEMOCODE,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/memocode,4612,0,N/A
International Conference on Formal Methods for Open Object-Based Distributed Systems,FMOOD,CORE2018,C,none,none,0899,0,N/A
International Conference on Formal Ontology in Information Systems,FOIS,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/fois,4602,0,N/A
International Conference on Formal Structures for Computation and Deduction,FSCD,CORE2023,B,none,https://dblp.org/db/conf/fscd,4613,0,N/A
International Conference on Foundation on Data Organization,FODO,CORE2018,A,none,none,0804,0,N/A
International Conference on Frontiers of Handwriting Recognition,ICFHR,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/icfhr,4603,0,N/A
International Conference on Frontiers of Information Technology,FIT,CORE2023,National: Pakistan,none,https://dblp.uni-trier.de/db/conf/fit,46,0,N/A
International Conference on Functional Programming,ICFP,CORE2023,A,none,https://dblp.uni-trier.de/db/conf/icfp,4612,0,N/A
International Conference on Fuzzy Systems and Knowledge Discovery,FSKD,CORE2018,C,none,none,0801,0,N/A
International Conference on Generative Programming and Component Engineering,GPCE,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/gpce,4612,0,N/A
International Conference on Genetic Algorithms,ICGA,CORE2018,B,none,none,0801,0,N/A
International Conference on GeoComputation,GeoComp,CORE2018,C,none,none,0909,0,N/A
International Conference on Graph Transformations,ICGT,CORE2023,B,none,https://dblp.org/db/conf/gg,4613,0,N/A
"International Conference on Green, Pervasive and Cloud Computing (was Grid and Pervasive Computing)",GPC,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/gpc,4606,0,N/A
International Conference on Grid and Cooperative Computing,GCC,CORE2018,C,none,none,0805,0,N/A
International Conference on Grid Computing and Applications,GCA,CORE2018,C,none,none,0805,0,N/A
"International Conference on Grid computing, high-performance and Distributed Applications",GADA,CORE2018,C,none,none,0805,0,N/A
"International Conference on Hardware/Software Codesign and System Synthesis (previously ISSN, changed in 2003)",CODES+ISSS,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/codesisss,CSE,0,N/A
International Conference on Health Informatics,Healthinf,CORE2018,C,none,none,0806,1,3.0
"International Conference on Heterogeneous Networking for Quality, Reliability, Security and Robustness (was International Conference on Quality of Service in Heterogeneous Wired/Wireless Networks)",Qshine,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/qshine,4606,0,N/A
International Conference on High Performance Computing,HiPC,CORE2023,National: India,none,https://dblp.uni-trier.de/db/conf/hipc,4606,2,5.0
International Conference on High Performance Computing and Networking,HPCN,CORE2018,B,none,none,,0,N/A
"International Conference on High Performance Computing, Networking and Communication Systems",HPCNCS,CORE2018,B,none,none,0805,0,N/A
International Conference on High Performance Scientific Computing,HPSC,CORE2023,National: Vietnam,none,none,4606,0,N/A
International Conference on High Performance Yacht Design,,ERA2010,A,none,none,0911,0,N/A
International Conference on High-Performance Clustered Computing (International Conference on Linux Clusters),LCI,CORE2018,C,none,none,0805,0,N/A
International Conference on Human Factors in Computing Systems,CHI,CORE2023,A*,none,https://dblp.uni-trier.de/db/conf/chi,4608,0,N/A
International Conference on Human-Computer Interaction with Mobile Devices and Services,MobileHCI,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/mhci,4608,4,5.0
International Conference on Hybrid Artificial Intelligence Systems,HAIS,CORE2023,National: Spain,none,https://dblp.uni-trier.de/db/conf/hais,4602,0,N/A
International Conference on Hybrid Intelligent Systems,HIS,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/his,4602,0,N/A
International Conference on Hydroinformatics,,ERA2010,C,none,none,0905,0,N/A
International Conference on Image Analysis and Processing,ICIAP,CORE2023,National: Italy,none,https://dblp.uni-trier.de/db/conf/iciap,4603,1,3.0
International Conference on Image Analysis and Recognition,ICIAR,CORE2021,C,none,https://dblp.uni-trier.de/db/conf/iciar,4603,0,N/A
International Conference on Image and Graphics,ICIG,CORE2023,National: China,none,https://dblp.uni-trier.de/db/conf/icig,4607,0,N/A
International Conference on Image and Signal Processing,ICISP,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/icisp,4603,0,N/A
International Conference on Immersive Telecommunications,IMMERSCOM,CORE2018,C,none,none,0801,0,N/A
International Conference on Implementation and Application of Automata,CIAA,CORE2023,C,See note,https://dblp.uni-trier.de/db/conf/wia,4613,0,N/A
"International Conference on Indoor Air Quality, Ventilation and Energy Conservation in Buildings",IAQVEC,ERA2010,A,none,none,1202,0,N/A
International Conference on Indoor Positioning and Indoor Navigation,IPIN,CORE2023,C,none,https://dblp.org/db/conf/ipin,4606,0,N/A
International Conference on Industrial and Engineering Applications of Artificial Intelligence and Expert Systems,IEA/AIE,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/ieaaie,4602,0,N/A
International Conference on Informatics & Data-Driven Medicine,IDDM,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/iddm,4611,0,N/A
International Conference on Informatics Education and Research,AIS SIGED: IAIM,CORE2018,B,none,none,0806,0,N/A
"International Conference on Informatics in Control, Automation and Robotics",ICINCO,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/icinco,4602,0,N/A
International Conference on Information and Communication Technologies and Development,ICTD,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/ictd,4601,0,N/A
International Conference on Information and Communication Technologies for Ageing Well and e-Health,ICT4AWE,CORE2023,C,none,none,4601,0,N/A
International Conference on Information and Communication Technologies in Tourism,ENTER,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/enter,4601,0,N/A
International Conference on Information and Communications Security,ICICS,CORE2023,C,See note,https://dblp.uni-trier.de/db/conf/icics,4604,2,N/A
International Conference on Information and Communications Technology,ICICT,CORE2018,C,none,none,08,0,N/A
International Conference on Information and Emerging Technologies,ICIET,CORE2018,C,none,none,08,0,N/A
International Conference on Information and Knowledge Engineering,IKE,CORE2023,National: USA,none,none,4602,0,N/A
International Conference on Information Fusion,FUSION,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/fusion,4605,0,N/A
International Conference on Information Processing and Management of Uncertainty,IPMU,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/ipmu,4605,0,N/A
International Conference on Information Quality,ICIQ,CORE2018,Unranked,none,none,0806,0,N/A
International Conference on Information Resources Management,Conf-IRM,CORE2018,B,none,none,0806,0,N/A
International Conference on Information Security and Assurance,ISA,CORE2018,C,none,none,0803,0,N/A
International Conference on Information Security and Cryptography,SECRYPT,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/secrypt,4604,0,N/A
International Conference on Information Security and Cryptology,ICISC,CORE2023,National: Korea,none,https://dblp.uni-trier.de/db/conf/icisc,4604,0,N/A
International Conference on Information Systems,ICIS,CORE2018,A*,none,https://dblp.uni-trier.de/db/conf/icis,0806,0,N/A
International Conference on Information Systems Analysis and Synthesis,ISAS,CORE2018,C,none,none,0806,0,N/A
International Conference on Information Systems Development,ISD,CORE2018,A,none,none,0806,0,N/A
International Conference on Information Systems Security,ICISS,CORE2023,National: India,none,https://dblp.uni-trier.de/db/conf/iciss,4604,0,N/A
International Conference on Information Systems Security and Privacy,ICISSP,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/icissp,4604,0,N/A
International Conference on Information Systems Technology and its Application,ISTA,CORE2018,B,none,none,0806,0,N/A
International Conference on Information Technology and Applications,ICITA,CORE2023,Australasian C,none,none,4601,0,N/A
International Conference on Information Technology in Regional Areas,ITiRA,CORE2018,C,none,none,0899,0,N/A
International Conference on Information Technology Interfaces,ITI,CORE2018,C,none,none,08,0,N/A
International Conference on Information Technology: Coding and Computing,ITCC,CORE2020,C,none,https://dblp.uni-trier.de/db/conf/itcc,46,0,N/A
International Conference on Information Theoretic Security,ICITS,CORE2018,C,none,none,0803,0,N/A
International Conference on Information Visualisation,IV,CORE2023,C,See note,https://dblp.uni-trier.de/db/conf/iv,4608,0,N/A
"International Conference on Information, Communications and Signal Processing",ICICS,CORE2018,B,none,none,0806,0,N/A
"International Conference on Innovation in Architecture, Engineering and Construction",AEC,ERA2010,C,none,none,0905,0,N/A
International Conference on Innovations for Community Services (was Innovative Internet Computer Systems IICS until 2014),I4CS,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/iics,4601,0,N/A
International Conference on Integration of Artificial Intelligence and Operations Research Techniques in Constraint Programming for Combinatorial Optimization Problems,CPAIOR,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/cpaior,4602,0,N/A
"International Conference on Intelligent Agents, Web Technologies, and Internet Commerce",IAWTIC,CORE2018,B,none,none,0806,0,N/A
International Conference on Intelligent and Advanced Systems,ICIAS,ERA2010,C,none,none,1005,0,N/A
International Conference on Intelligent Data Engineering and Automated Learning,IDEAL,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/ideal,46,0,N/A
International Conference on Intelligent Pervasive Computing,IPC,CORE2018,C,none,none,0805,0,N/A
"International Conference on Intelligent Sensors, Sensor Networks and Information Processing",ISSNIP,ERA2010,B,none,none,0902,0,N/A
"International Conference on Intelligent Software Methodologies, Tools, and Techniques (was International Conference on Software Methods and Tools)",SoMeT,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/somet,4612,0,N/A
International Conference on Intelligent Systems,ICIL,CORE2018,C,none,none,0801,0,N/A
International Conference on Intelligent Systems and Knowledge Engineering,ISKE,CORE2023,National: China,none,https://dblp.uni-trier.de/db/conf/iske,4602,0,N/A
International Conference on Intelligent Systems Designs and Applications,ISDA,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/isda,4602,0,N/A
International Conference on Intelligent Text Processing and Computational Linguistics,CICLING,CORE2023,C,See note,https://dblp.uni-trier.de/db/conf/cicling,4602,0,N/A
International Conference on Intelligent Tutoring Systems,ITS,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/its,4601,0,N/A
International Conference on Intelligent User Interfaces,IUI,CORE2023,A,none,https://dblp.uni-trier.de/db/conf/iui,4608,0,N/A
"International Conference on Interaction Sciences: Information Technology, Culture and Human",ICIS,CORE2018,C,none,none,0806,0,N/A
International Conference on Interactive Digital Storytelling (2008 merger of 'ICVS International Conference on Virtual Storytelling' and 'TIDSE Technology for Interactive Digital Storytelling'),ICIDS,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/icids,4607,4,4.8
International Conference on International and Communication Technologies,ICICTE,CORE2018,C,none,none,08,0,N/A
International Conference on Internet and Web Applications and Services,ICIW,CORE2023,C,none,none,4606,0,N/A
International Conference on Internet Computing,IC,CORE2018,B,none,none,0806,0,N/A
International Conference on Internet Computing in Science and Engineering,ICICSE,CORE2023,C,none,none,4606,0,N/A
International Conference on Internet Monitoring and Protection,ICIMP,CORE2023,C,none,none,4604,0,N/A
"International Conference on Internet of Things, Big Data and Security",IoTBDS,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/iotbd,4604,0,N/A
International Conference on Internet Technologies and Applications,ITA,CORE2023,National: USA,none,https://dblp.uni-trier.de/db/conf/ita,46,0,N/A
International Conference on IT Based Higher Education and Training,ITHET,CORE2018,C,none,none,,0,N/A
International Conference on Knowledge Discovery and Data Mining,WKDD,CORE2018,C,none,none,0804,0,N/A
International Conference on Knowledge Engineering and Knowledge Management,EKAW,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/ekaw,4605,3,4.3
International Conference on Knowledge Engineering and Ontology Development,KEOD,CORE2023,C,none,none,4605,0,N/A
"International Conference on Knowledge Science, Engineering and Management",KSEM,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/ksem,4602,0,N/A
International Conference on Knowledge-Based and Intelligent Information and Engineering Systems,KES,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/kes,4602,63,4.7
International Conference on Knowledge-based Intelligent Electronic Systems,KIES,CORE2018,C,none,none,0801,0,N/A
International Conference on Language and Automata Theory and Applications,LATA,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/lata,4613,0,N/A
International Conference on Leading Edge Manufacturing in 21st Century,,ERA2010,A,none,none,0910,0,N/A
International Conference on Learning Analytics and Knowledge,LAK,CORE2023,A,none,https://dblp.uni-trier.de/db/conf/lak,4608,2,5.0
International Conference on Learning Representations,ICLR,CORE2023,A*,none,https://dblp.uni-trier.de/db/conf/iclr,4611,0,N/A
International Conference on Legal Knowledge and Information Systems,JURIX,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/jurix,4601,0,N/A
International Conference on Liquid Atomization and Spray Systems,,ERA2010,A,none,none,0902,0,N/A
International Conference on Logic Programming,ICLP,CORE2023,A,none,https://dblp.uni-trier.de/db/conf/iclp,4613,0,N/A
International Conference on Logic Programming and Non-monotonic Reasoning,LPNMR,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/lpnmr,4602,0,N/A
International Conference on Machine Learning,ICML,CORE2023,A*,none,https://dblp.uni-trier.de/db/conf/icml,4611,0,N/A
International Conference on Machine Learning and Applications,ICMLA,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/icmla,4611,4,2.0
International Conference on Machine Learning and Cybernetics,ICMLC,CORE2023,National: China,none,https://dblp.uni-trier.de/db/conf/icmlc,4611,0,N/A
International Conference on Machine Vision,ICMV,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/icmv,4603,0,N/A
International Conference on Managed Programming Languages and Runtimes (was ManLang and previously Principles and Practice of Programming in Java: PPPJ),MPLR,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/pppj,4612,0,N/A
International Conference on Management of Data,COMAD,CORE2023,National: India,none,https://dblp.uni-trier.de/db/conf/comad,4605,0,N/A
International Conference on Management of Digital EcoSystems,MEDES,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/medes,4606,29,4.3
International Conference on Management of Technology,IAMOT,ERA2010,C,none,none,10,0,N/A
International Conference on Massively Parallel Computing Systems,MPCS,CORE2018,B,none,none,0805,0,N/A
International Conference on Mathematical Foundations of Programming Semantics,MFPS,CORE2023,B,none,https://dblp.org/db/conf/mfps,4613,0,N/A
"International Conference on Mechanics of structures, Materials and System",,ERA2010,B,none,none,0910,0,N/A
International Conference on Medical Information  Visualisation,MediVis,CORE2018,C,none,none,0801,0,N/A
International Conference on Metal Forming,,ERA2010,A,none,none,0910,0,N/A
International Conference on Methods and Models in Automation and Robotics,MMAR,CORE2023,National:Poland,none,https://dblp.uni-trier.de/db/conf/mmar,4611,0,N/A
International Conference on Mobile and Ubiquitous Systems: Networks and Services,Mobiquitous,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/mobiquitous,4606,0,N/A
International Conference on Mobile Business,ICMB,CORE2018,C,none,none,0805,0,N/A
International Conference on Mobile Data Management,MDM,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/mdm,4605,1,3.0
International Conference on Mobile Systems and Pervasive Computing,MobiSPC,CORE2023,Unranked,none,none,4606,0,N/A
"International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies",UBICOMM,CORE2023,C,none,none,4606,0,N/A
International Conference on Modal Analysis,,ERA2010,A,none,none,0905,0,N/A
International Conference on Model and Data Engineering,MEDI,CORE2023,C,none,https://dblp.org/db/conf/medi,4605,0,N/A
"International Conference on Model Driven Engineering Languages and Systems (Previously UML, changed in 2005)",MODELS,CORE2023,A,none,https://dblp.uni-trier.de/db/conf/models,4612,7,5.0
International Conference on Model Transformation,ICMT,CORE2020,B,none,https://dblp.uni-trier.de/db/conf/icmt,4612,0,N/A
International Conference on Model-Driven Engineering and Software Development,MODELSWARD,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/modelsward,4606,0,N/A
"International Conference on Modeling, Simulation and Visualization Methods",MSV,ERA2010,C,none,none,10,0,N/A
International Conference on Modelling and Diagnostics For Advanced Engine Systems,,ERA2010,A,none,none,0902,0,N/A
International Conference on Modelling and Simulation,ECMS,CORE2023,Multiconference,See note,https://dblp.uni-trier.de/db/conf/ecms,4602,0,N/A
International Conference on Modelling Decisions for Artificial Intelligence,MDAI,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/mdai,4602,0,N/A
International Conference on Multi Agent Systems,ICMAS,CORE2008,A,none,none,,0,N/A
International Conference on Multimedia,ICMR,CORE2014,B,none,none,0803,0,N/A
International Conference on Multimedia Modelling,MMM,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/mmm,4603,0,N/A
International Conference on Multimedia Retrieval (previously MIR),ICMR,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/mir,4603,0,N/A
International Conference on Multimodal Interaction (was International Conference on Multimodal Interfaces),ICMI,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/icmi,4608,1,4.0
International Conference on Natural Computation,ICNC,CORE2023,National: China,none,https://dblp.uni-trier.de/db/conf/icnc,4602,0,N/A
International Conference on Network and Service Management (amalgamation of DSOM and related workshops from 2010),CNSM,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/cnsm,4606,0,N/A
International Conference on network and System Security,NSS,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/nss,4604,0,N/A
International Conference on Network Protocols,ICNP,CORE2023,B,See note,https://dblp.uni-trier.de/db/conf/icnp,4606,1,5.0
International Conference on Network Softwarization,NetSoft,CORE2023,B,none,https://dblp.org/db/conf/netsoft/,4606,0,N/A
International Conference on Networked Computing,INC,CORE2018,C,none,none,0805,0,N/A
International Conference on Networking and Mobile Computing,ICCNMC,ERA2010,C,none,none,1005,0,N/A
"International Conference on Networking, Sensing and Control",ICNSC,ERA2010,C,none,none,0902,0,N/A
International Conference on Networks and Communications,NetCoM,ERA2010,C,none,none,1005,0,N/A
International Conference on Neural Information Processing,ICONIP,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/iconip,4611,0,N/A
"International Conference on Neural, Parallel and Scientific Computations",NPSC,CORE2018,C,none,none,0801,0,N/A
International Conference on New Forming Technology,,ERA2010,A,none,none,0910,0,N/A
International Conference on New Trends of Information and Service Science,NISS,CORE2018,C,none,none,0806,0,N/A
International Conference on Next Generation Web Services Practices,NWESP,CORE2018,C,none,none,0806,0,N/A
International Conference on Next Generation Wired/Wireless Advanced Networking,NEW2AN,ERA2010,C,none,none,1005,0,N/A
International Conference on Numerical Methods in Industrial Forming Processes,,ERA2010,A,none,none,0910,0,N/A
International Conference on Object Oriented Information Systems,OOIS,CORE2018,C,none,none,,0,N/A
"International Conference on Ocean, Offshore and Arctic Engineering",,ERA2010,A,none,none,0911,0,N/A
International Conference on Operations Research,GOR,CORE2018,C,none,none,0802,0,N/A
International Conference on Operations Research and Enterprise Systems,ICORES,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/icores,4602,0,N/A
International Conference on Optimization: Techniques And Applications,ICOTA,CORE2023,C,none,none,4602,0,N/A
International Conference on Pairing-based Cryptography,Pairing,CORE2023,C,none,none,4604,0,N/A
"International Conference on Parallel and Distributed Computing, Applications and Technologies",PDCAT,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/pdcat,4606,0,N/A
International Conference on Parallel and Distributed Processing Techniques and Applications,PDPTA,CORE2023,National: USA,none,none,4606,0,N/A
International Conference on Parallel and Distributed Systems,ICPADS,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/icpads,4606,0,N/A
International Conference on Parallel Architecture and Compilation Techniques,PACT,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/IEEEpact,4606,1,4.0
International Conference on Parallel Processing,ICPP,CORE2023,B,See note,https://dblp.uni-trier.de/db/conf/icpp,4606,0,N/A
International Conference on Parallel Processing and Applied Mathematics,PPAM,CORE2023,National: Poland,none,https://dblp.uni-trier.de/db/conf/ppam,4606,4,4.7
International Conference on Pattern Recognition,ICPR,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/icpr,4603,0,N/A
International Conference on Pattern Recognition Applications and Methods,ICPRAM,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/icpram,4603,2,5.0
International Conference on Persuasive Technology,Persuasive,CORE2018,B,none,https://dblp.uni-trier.de/db/conf/persuasive,0806,0,N/A
International Conference on Pervasive Computing (Joined with UbiComp from 2013),PERVASIVE,CORE2014,A*,none,none,0805,0,N/A
International Conference on Pervasive Computing and Applications,ICPCA,CORE2018,C,none,none,0805,0,N/A
International Conference on Pervasive Services,ICPS,CORE2018,C,none,none,0805,0,N/A
International Conference on Practical Applications of Computational Biology & Bioinformatics,PACBB,CORE2023,National(Spain),none,https://dblp.org/db/conf/pacbb,4602,0,N/A
International Conference on Practice and Theory in Public Key Cryptography,PKC,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/pkc,4604,0,N/A
International Conference on Pressure Surges,,ERA2010,A,none,none,0905,0,N/A
International Conference on Principles and Practice of Constraint Programming,CP,CORE2023,A,none,https://dblp.uni-trier.de/db/conf/cp,4602,0,N/A
International Conference on Principles and Practice of Declarative Programming,PPDP,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/ppdp,4613,0,N/A
