Title,Acronym,Source,Rank,Note,DBLP,Primary FoR,Comments,Average Rating
ACM Special Interest Group on Management of Data Conference,SIGMOD,CORE2023,A*,none,https://dblp.uni-trier.de/db/conf/sigmod,4605,0,N/A
ACM Special Interest Group on Supporting Group Work (was SIGGRoup),Group,CORE2023,B,none,https://dblp.org/db/conf/group/index.html,4608,1,N/A
"ACM Symposium on Access Control Models and Technologies (previously ACM Workshop on Role-Based Access Control, RBAC, changed in 2000)",SACMAT,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/sacmat,4604,1,4.0
ACM Symposium on Applied Computing,SAC,CORE2023,Multiconference,none,https://dblp.uni-trier.de/db/conf/sac,4601,0,N/A
ACM Symposium on Document Engineering,DocEng,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/doceng,4605,0,N/A
ACM Symposium on Mobile Ad Hoc Networking and Computing,MOBIHOC,CORE2023,A,none,https://dblp.uni-trier.de/db/conf/mobihoc,4606,0,N/A
ACM Symposium on Principles of Database Systems,SPDS,CORE2018,C,none,none,0804,0,N/A
ACM Symposium on Principles of Distributed Computing,PODC,CORE2023,A*,none,https://dblp.uni-trier.de/db/conf/podc,4606,0,N/A
ACM Symposium on Software Reusability,SSR,CORE2018,A,none,https://dblp.uni-trier.de/db/conf/ssr,0803,0,N/A
ACM Symposium on Solid and Physical Modelling,SPM,CORE2023,C,See note,none,4607,0,N/A
ACM Symposium on Theory of Computing,STOC,CORE2023,A*,none,https://dblp.uni-trier.de/db/conf/stoc,4613,1,5.0
ACM Symposium on User Interface Software and Technology,UIST,CORE2023,A*,none,https://dblp.uni-trier.de/db/conf/uist,4608,1,5.0
ACM Virtual Reality Software and Technology,VRST,CORE2023,A,none,https://dblp.uni-trier.de/db/conf/vrst,4607,0,N/A
ACM Workshop on Formal Methods in Security Engineering: From Specifications to Code,FMSE,CORE2018,C,none,none,0803,0,N/A
ACM Workshop on Hot Topics in Networks,HOTNETS,CORE2023,National: USA,none,https://dblp.uni-trier.de/db/conf/hotnets,4606,0,N/A
ACM Workshop on Hot Topics in Software Upgrades,HotSWUp,CORE2018,C,none,none,0803,0,N/A
ACM Workshop on Role Based Access Control (now SACMAT),RBAC,CORE2014,C,none,none,0802,0,N/A
ACM Workshop on Scalable Trusted Computing,STC,CORE2018,B,none,none,0803,0,N/A
ACM Workshop on Secure Web Services,SWS,CORE2018,C,none,none,0801,0,N/A
ACM Workshop on Web Information and Data Management,WIDM,CORE2018,B,none,none,0806,0,N/A
ACM-SIGACT Symposium on Principles of Programming Languages,POPL,CORE2023,A*,none,https://dblp.uni-trier.de/db/conf/popl,4612,0,N/A
ACM-SIGPLAN Conference on Programming Language Design and Implementation,PLDI,CORE2023,A*,none,https://dblp.uni-trier.de/db/conf/pldi,4612,0,N/A
ACM-SIGRAPH Interactive 3D Graphics and Games,I3DG,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/si3d,4607,0,N/A
ACM/IEEE International Conference on Distributed Smart Cameras,ICDSC,CORE2021,B,none,https://dblp.uni-trier.de/db/conf/icdsc,4606,0,N/A
ACM/IEEE International Conference on Human-Robot Interaction,HRI,CORE2023,A,none,https://dblp.org/db/conf/hri/index.html,4608,0,N/A
"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",MSWIM,CORE2023,A,none,https://dblp.uni-trier.de/db/conf/mswim,4606,40,5.0
ACM/IEEE Symposium on Edge Computing,SEC,CORE2023,unranked,none,http://dblp.org/db/conf/ieeesec/index.html,4606,0,N/A
ACM/IFIP/USENIX International Middleware Conference,Middleware,CORE2023,A,none,https://dblp.uni-trier.de/db/conf/middleware,4606,1,4.0
ACM/SIAM Symposium on Discrete Algorithms,SODA,CORE2023,A*,none,https://dblp.uni-trier.de/db/conf/soda,4613,0,N/A
ACM/SPEC International Conference on Performance Engineering,ICPE,CORE2023,B,none,https://dblp.org/db/conf/wosp,4612,0,N/A
ACM/SPIE Multimedia Computing and Networking,MMCN,CORE2018,A,none,none,0801,1,5.0
ACS/IEEE International Conference on Computer Systems and Applications,AICCSA,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/aiccsa,46,0,N/A
Active and Real-Time Database Systems,ARTDB,CORE2018,C,none,none,0804,0,N/A
Advanced Concepts for Intelligent Vision Systems,ACIVS,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/acivs,4603,1,3.0
Advanced Course on Artificial Intelligence,ACAI,CORE2018,C,none,none,0801,0,N/A
Advanced Research in VLSI,ARVLSI,CORE2018,C,none,none,0805,0,N/A
Advanced Visual Interfaces,AVI,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/avi,4608,1,5.0
Advances in Cryptology,CRYPTO,CORE2023,A*,none,https://dblp.uni-trier.de/db/conf/crypto,4604,0,N/A
Advances in Information Systems,ADVIS,CORE2018,C,none,none,0806,0,N/A
Advances in Intelligent Systems,AIS,CORE2018,C,none,none,0801,0,N/A
Advances in Modal Logic,AiML,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/aiml,4613,0,N/A
Advances in Neural Information Processing Systems (was NIPS),NeurIPS,CORE2023,A*,none,https://dblp.uni-trier.de/db/conf/nips,4611,0,N/A
Advances in the Theory of Computing,AITC,CORE2018,C,none,none,0802,0,N/A
Agent-Oriented Information Systems Workshop,AOIS,CORE2014,B,none,none,0801,0,N/A
Agent-Oriented Software Engineering Workshop (merged into EMAS in 2013),AOSE,ERA2010,C,none,none,0801,0,N/A
AIAA Aerospace Sciences Meeting,,ERA2010,B,none,none,0901,0,N/A
AIChE Annual Meeting,,ERA2010,C,none,none,09,0,N/A
AISB Convention (Society for the Study of Artificial Intelligence and Simulation of Behaviour),AISB,ERA2010,B,none,none,1203,0,N/A
